Roll No,Math,Physics,Chemistry,English,CS
101,93,58,86,64,54
102,67,72,72,96,60
103,69,55,93,67,54
104,67,86,50,54,54
105,97,92,70,75,58
106,94,69,87,97,96
107,97,87,68,86,90
108,77,70,94,54,55
109,92,87,76,61,79
110,65,72,57,61,87
111,58,89,51,66,82
112,80,77,91,86,74
113,71,85,67,61,60
114,50,91,86,90,87
115,67,82,68,89,75
116,57,69,95,75,94
117,86,59,50,91,51
118,100,69,50,90,56
119,66,100,85,50,72
120,90,85,91,100,59
121,94,95,69,72,66
122,82,78,94,54,65
123,74,99,64,78,94
124,79,61,66,60,54
125,88,97,73,58,85
126,98,65,84,98,75
127,53,58,96,61,54
128,59,64,66,52,71
129,52,56,88,98,84
130,53,63,79,58,88
131,75,74,84,63,94
132,50,82,61,98,50
133,88,86,92,70,89
134,78,100,82,66,70
135,51,93,78,77,55
136,88,56,62,69,74
137,64,92,87,53,64
138,80,57,99,89,83
139,70,83,59,89,99
140,95,83,67,72,95
141,90,59,88,71,95
142,90,63,98,90,90
143,57,70,66,77,93
144,58,88,71,89,74
145,98,71,53,94,75
146,98,53,96,78,90
147,98,62,80,56,50
148,76,96,86,88,50
149,70,60,58,68,65
150,98,79,61,59,71
151,56,75,95,79,52
152,79,51,63,54,94
153,72,55,58,77,59
154,88,77,79,80,87
155,53,77,65,53,58
156,93,91,62,65,95
157,58,71,83,90,94
158,75,72,87,53,97
159,74,89,50,93,56
160,65,87,65,92,70
161,59,55,57,60,73
162,71,89,51,83,73
163,66,73,72,50,77
164,82,89,56,64,97
165,64,92,73,71,58
166,68,78,66,58,60
167,98,75,78,62,92
168,92,77,83,80,81
169,84,91,68,80,81
170,52,71,51,77,62
171,97,70,61,88,94
172,75,68,90,76,96
173,61,58,66,75,65
174,83,82,74,79,97
175,93,71,74,87,92
176,70,93,85,94,77
177,89,61,92,88,65
178,74,100,89,94,57
